time,open,high,low,close
1740472500,89890,89959.34,89801.01,89847.5
1740472800,89847.5,89860.67,89592.81,89676
1740473100,89676,89814.96,89500.01,89569.91
1740473400,89569.9,89608,89420.01,89508.01
1740473700,89508.01,89540.13,89357.88,89400.53
1740474000,89400.54,89573.95,89374.17,89573.94
1740474300,89573.94,89598.02,89415.09,89431.15
1740474600,89431.15,89521.74,89312.93,89347.57
1740474900,89347.57,89386.51,89100.01,89140.02
1740475200,89140.02,89168.53,88711.39,89043.78
1740475500,89043.78,89050,88549.09,88650
1740475800,88650,88943.8,88615.44,88880
1740476100,88880,89104.69,88859.03,89013.27
1740476400,89013.28,89149.63,88948.54,88969.18
1740476700,88968.25,89107.42,88750,88875.95
1740477000,88875.95,88912.54,88443.29,88629.98
1740477300,88629.99,88640.4,88289.63,88303.73
1740477600,88303.74,88774.03,87650,88755.94
1740477900,88755.95,88905.67,88472.42,88474
1740478200,88474.01,88476,87745.58,87746.64
1740478500,87746.65,88066.73,87700,87944.02
1740478800,87944.02,87995.99,86888.1,87198.36
1740479100,87198.36,87804.38,86902.47,87782.01
1740479400,87782.02,88422.98,87736.44,88264.68
1740479700,88264.67,88464,88105.81,88312.1
1740480000,88312.1,88346,87973.24,88020.01
1740480300,88020.01,88076,87757.01,87908.97
1740480600,87908.98,88229.45,87867.98,88078
1740480900,88077.99,88350.01,88063.48,88213.77
1740481200,88213.76,88218,87826.33,87984
1740481500,87984,88201.49,87727.06,88193.01
1740481800,88193.02,88349.36,88018.95,88158.02
1740482100,88158.01,88181.13,87880.84,87967.2
1740482400,87967.21,88180,87833.07,87854.02
1740482700,87854.02,87860,87618.9,87738.02
1740483000,87738.01,88043.48,87709.7,87960.02
1740483300,87960.02,88597.02,87944.87,88590.41
1740483600,88590.42,88914.22,88524.01,88848.86
1740483900,88848.86,89080.11,88769.1,89044.9
1740484200,89044.9,89192.78,88977.14,89169.54
1740484500,89169.54,89358.12,89117.01,89239.39
1740484800,89239.39,89260.06,89037.73,89081.45
1740485100,89081.46,89279.99,89000.46,89275.84
1740485400,89275.84,89371.82,89062.5,89244.03
1740485700,89244.03,89343.3,89113.2,89252.6
1740486000,89252.61,89531.25,89226.42,89496.01
1740486300,89496.01,89528.63,89200,89301.88
1740486600,89301.89,89306,89065.51,89117.85
1740486900,89117.84,89215.07,88956.52,89000
1740487200,88999.99,89135.89,88953.63,88994.28
1740487500,88994.27,89147.99,88908.91,88943.99
1740487800,88944,89150.95,88924.84,89037.64
1740488100,89037.63,89415.1,88992.4,89395.98
1740488400,89395.99,89429.14,89133.09,89164.01
1740488700,89164.01,89468.66,89086.95,89457.73
1740489000,89457.73,89544.4,89254.96,89384
1740489300,89384.01,89397.82,89207.15,89312.99
1740489600,89312.99,89360,89104.15,89150.95
1740489900,89150.95,89199.06,89033.21,89051.49
1740490200,89051.49,89116,88962.26,89011.75
1740490500,89011.74,89032.5,88750.41,88876.89
1740490800,88876.89,89160,88876.88,89048.05
1740491100,89048.05,89200,88822,88865.42
1740491400,88865.42,88998.99,88810,88982.61
1740491700,88982.6,88982.6,88826.09,88826.11
1740492000,88826.11,88871.73,88656.37,88832
1740492300,88831.99,88916.35,88761.58,88869.09
1740492600,88869.09,89139.99,88849.05,89118.92
1740492900,89118.92,89384.65,88990,88998.01
1740493200,88998.01,89022.18,88578.67,88616
1740493500,88615.99,89209.95,88615.99,89165.44
1740493800,89165.45,89179.43,88580.64,88932.6
1740494100,88932.6,89083.14,88320.75,88483.92
1740494400,88483.92,88483.92,87860.23,88022
1740494700,88022.01,88120,87501,87548.49
1740495000,87548.49,87598.43,87077,87472.57
1740495300,87472.57,87716.99,87109.28,87157.25
1740495600,87157.25,87537.01,86565,86944.22
1740495900,86944.21,87213.43,86789,87004
1740496200,87004.01,87248,86742.01,86828.15
1740496500,86828.15,87175.42,86406.89,86620.88
1740496800,86619,86943.99,86245.73,86735.41
1740497100,86734.56,87125,86524,86620.21
1740497400,86620.22,86797.36,86114.04,86262
1740497700,86261.99,87148,86050.99,87046.13
